2015-03-16 None, Sunny
2015-03-17 None, Sunny
2015-03-14 None, Sunny
2015-03-15 None, Sunny
2015-10-05 None, Sunny
2015-10-04 None, Sunny
2015-10-07 None, Sunny
2015-10-06 None, Sunny
2015-10-01 None, Sunny
2015-05-19 None, Sunny
2015-10-03 None, Sunny
2015-10-02 None, Sunny
2015-05-14 None, Sunny
2015-05-15 None, Sunny
2015-05-16 None, Sunny
2015-05-17 None, Sunny
2015-10-09 None, Sunny
2015-10-08 None, Sunny
2015-05-12 None, Sunny
2015-05-13 None, Sunny
2015-01-25 407579, Sunny
2015-01-24 460505, Sunny
2015-01-27 135500, Sunny
2015-01-26 230255, Sunny
2015-01-21 431486, Sunny
2015-01-20 405581, Sunny
2015-01-23 472440, Sunny
2015-01-22 452108, Sunny
2015-01-29 431985, Sunny
2015-01-28 380192, Sunny
